Time (s),DIO 0
-9.6074615699999999,0
-9.6066282400000009,0
-9.6057949100000002,0
-9.6049615799999994,0
-9.6041282500000005,0
-9.6032949199999997,0
-9.6024615900000008,0
-9.60162826,1
-9.6007949300000011,1
-9.5999616000000003,1
-9.5991282699999996,1
-9.5982949400000006,1
-9.5974616099999999,1
-9.5966282800000009,1
-9.5957949500000002,1
-9.5949616199999994,1
-9.5941282900000004,1
-9.5932949599999997,0
-9.5924616300000007,0
-9.5916283,0
-9.590794970000001,0
-9.5899616400000003,0
-9.5891283099999995,0
-9.5882949800000006,0
-9.5874616499999998,0
-9.5866283200000009,0
-9.5857949900000001,0
-9.5849616599999994,1
-9.5841283300000004,1
-9.5832949999999997,1
-9.5824616700000007,1
-9.58162834,1
-9.580795010000001,1
-9.5799616800000003,1
-9.5791283499999995,1
-9.5782950200000005,1
-9.5774616899999998,1
-9.5766283600000008,0
-9.5757950300000001,0
-9.5749616999999994,0
-9.5741283700000004,0
-9.5732950399999996,0
-9.5724617100000007,0
-9.5716283799999999,0
-9.570795050000001,0
-9.5699617200000002,0
-9.5691283899999995,0
-9.5682950600000005,1
-9.5674617299999998,1
-9.5666284000000008,1
